id;description;amount;timestamp;merchant;operation_type;side
5030;"Direct debit";-1286,18;"2024-03-15 15:03:22";"Amazon.fr";"refund";"debit"
5031;"Purchase at TotalEnergies";2724,49;"2024-03-17 22:52:06";"TotalEnergies";"direct_debit";"credit"
5032;"Direct debit";3255,02;"2023-09-19 03:32:55";"Systeme U";"direct_debit";"credit"
5033;"Incoming transfer";396,13;"2023-06-02 15:35:42";"Deliveroo";"refund";"credit"
5034;"Receipt from Carrefour";1789,68;"2023-05-26 15:23:26";"Carrefour";"payment";"credit"
5035;"Card expense at Intermarche";4204,93;"2023-06-15 22:14:25";"Intermarche";"direct_debit";"credit"
5036;"Subscription to La Poste";-351,67;"2023-12-01 14:04:25";"La Poste";"direct_debit";"debit"
5037;"Incoming transfer";-1448,87;"2023-10-26 04:24:44";"Uber";"refund";"debit"
5038;"Outgoing transfer";77,07;"2024-03-28 01:59:27";"Carrefour";"transfer";"credit"
5039;"Refund from Intermarche";-184,66;"2023-11-20 22:35:40";"Intermarche";"transfer";"debit"
5040;"Incoming transfer";861,09;"2024-02-22 16:31:36";"Lidl";"direct_debit";"credit"
5041;"Purchase at Intermarche";-750,81;"2023-05-16 14:50:16";"Intermarche";"payment";"debit"
5042;"Refund from TotalEnergies";688,00;"2024-04-17 12:48:04";"TotalEnergies";"transfer";"credit"
5043;"Incoming transfer";-1283,64;"2024-03-19 07:01:33";"Bouygues";"direct_debit";"debit"
5044;"Outgoing transfer";143,94;"2023-10-30 09:07:50";"Leclerc";"transfer";"credit"
5045;"Online payment";830,51;"2023-02-04 12:40:15";"RATP";"transfer";"credit"
5046;"Incoming transfer";-143,54;"2023-04-26 15:22:34";"Orange";"refund";"debit"
5047;"Incoming transfer";-148,01;"2024-03-12 19:27:01";"Auchan";"direct_debit";"debit"
5048;"Incoming transfer";1030,26;"2023-02-13 16:24:33";"Amazon.fr";"refund";"credit"
5049;"Receipt from Fnac";1847,20;"2023-07-30 00:09:08";"Fnac";"refund";"credit"
5050;"Card expense at Auchan";4826,67;"2024-04-12 11:20:23";"Auchan";"payment";"credit"
5051;"Card expense at Fnac";3156,39;"2023-12-20 15:55:30";"Fnac";"payment";"credit"
5052;"Outgoing transfer";-1814,09;"2024-01-22 23:45:37";"Lidl";"payment";"debit"
5053;"Refund from Franprix";-245,65;"2023-02-26 18:42:34";"Franprix";"transfer";"debit"
5054;"Incoming transfer";2491,46;"2024-01-27 21:25:34";"Auchan";"refund";"credit"
5055;"Incoming transfer";4663,87;"2023-06-11 15:27:53";"Carrefour";"refund";"credit"
5056;"Receipt from RATP";1651,99;"2023-10-27 00:43:23";"RATP";"refund";"credit"
5057;"Direct debit";1591,41;"2024-01-15 17:35:55";"Carrefour";"transfer";"credit"
5058;"Incoming transfer";-340,32;"2023-03-20 14:11:02";"Leclerc";"refund";"debit"
5059;"Invoice from Air France";1111,09;"2023-07-25 10:15:27";"Air France";"payment";"credit"
5060;"Subscription to La Poste";-1542,80;"2023-05-18 18:18:43";"La Poste";"refund";"debit"
5061;"Direct debit";2375,39;"2023-12-01 23:14:14";"Auchan";"direct_debit";"credit"
5062;"Direct debit";-1554,75;"2023-07-01 03:00:23";"Leclerc";"refund";"debit"
5063;"Incoming transfer";-31,41;"2023-02-07 09:30:16";"Veolia";"direct_debit";"debit"
5064;"Subscription to Leclerc";-1931,04;"2023-01-17 07:58:51";"Leclerc";"refund";"debit"
5065;"Online payment";2442,96;"2024-03-16 11:12:52";"Intermarche";"direct_debit";"credit"
5066;"Invoice from Lidl";638,42;"2023-03-02 03:30:51";"Lidl";"direct_debit";"credit"
5067;"Subscription to Amazon.fr";1849,86;"2023-12-01 05:23:36";"Amazon.fr";"transfer";"credit"
5068;"Receipt from Orange";-518,31;"2023-09-20 06:50:45";"Orange";"transfer";"debit"
5069;"Online payment";-888,38;"2024-02-10 12:13:02";"SFR";"direct_debit";"debit"
5070;"Invoice from Darty";-867,63;"2023-11-08 14:06:00";"Darty";"refund";"debit"
5071;"Purchase at La Poste";-798,27;"2023-02-15 17:03:42";"La Poste";"payment";"debit"
5072;"Card expense at Carrefour";-1252,29;"2023-04-27 05:26:44";"Carrefour";"refund";"debit"
5073;"Online payment";-678,13;"2024-03-17 17:19:50";"Leclerc";"payment";"debit"
5074;"Receipt from SNCF";-1061,50;"2023-12-06 00:25:35";"SNCF";"refund";"debit"
5075;"Incoming transfer";4792,38;"2024-03-10 16:29:27";"Carrefour";"payment";"credit"
5076;"Card expense at Bouygues";1673,13;"2024-01-31 13:20:43";"Bouygues";"direct_debit";"credit"
5077;"Refund from Lidl";-1336,39;"2023-01-22 22:53:04";"Lidl";"transfer";"debit"
5078;"Online payment";1891,45;"2023-04-13 12:14:39";"Franprix";"transfer";"credit"
5079;"Purchase at EDF";4702,40;"2023-11-02 09:57:45";"EDF";"payment";"credit"
5080;"Outgoing transfer";4236,23;"2024-02-10 01:16:34";"Intermarche";"direct_debit";"credit"
5081;"Direct debit";-4,30;"2023-05-28 23:37:11";"Transilien";"direct_debit";"debit"
5082;"Outgoing transfer";-235,81;"2023-10-03 09:01:32";"Intermarche";"direct_debit";"debit"
5083;"Online payment";-270,01;"2023-02-11 05:49:49";"Monoprix";"refund";"debit"
5084;"Purchase at Transilien";2892,04;"2023-01-23 13:51:15";"Transilien";"transfer";"credit"
5085;"Direct debit";-1305,47;"2024-02-25 03:54:31";"Monoprix";"payment";"debit"
5086;"Invoice from EDF";-1536,20;"2023-06-16 04:04:25";"EDF";"refund";"debit"
5087;"Online payment";-440,37;"2023-04-04 01:15:10";"Transilien";"refund";"debit"
5088;"Card expense at Carrefour";3896,69;"2024-03-03 12:57:26";"Carrefour";"direct_debit";"credit"
5089;"Online payment";-1925,90;"2023-04-23 14:28:00";"Auchan";"direct_debit";"debit"
5090;"Refund from Darty";-850,96;"2024-03-30 23:31:04";"Darty";"transfer";"debit"
5091;"Receipt from Franprix";-44,82;"2024-03-16 08:28:28";"Franprix";"payment";"debit"
5092;"Online payment";-312,40;"2023-12-26 23:15:43";"Intermarche";"refund";"debit"
5093;"Receipt from Carrefour";-960,35;"2023-06-14 15:18:34";"Carrefour";"transfer";"debit"
5094;"Direct debit";-1696,95;"2023-01-26 23:19:32";"Franprix";"payment";"debit"
5095;"Refund from Bouygues";-447,74;"2024-04-03 10:17:33";"Bouygues";"payment";"debit"
5096;"Receipt from SFR";2627,69;"2023-06-05 12:09:11";"SFR";"direct_debit";"credit"
5097;"Direct debit";-1532,86;"2023-03-12 04:04:10";"Amazon.fr";"refund";"debit"
5098;"Online payment";-1639,50;"2023-01-26 16:35:28";"Carrefour";"payment";"debit"
5099;"Direct debit";-1558,32;"2023-07-25 14:06:57";"Fnac";"refund";"debit"
5100;"Subscription to Deliveroo";-863,01;"2023-03-09 16:55:35";"Deliveroo";"transfer";"debit"
5101;"Purchase at Air France";-301,99;"2023-02-15 16:49:21";"Air France";"direct_debit";"debit"
5102;"Refund from Veolia";-957,11;"2023-05-07 13:16:34";"Veolia";"payment";"debit"
5103;"Invoice from Veolia";-636,65;"2023-07-25 20:23:59";"Veolia";"payment";"debit"
5104;"Outgoing transfer";-1546,94;"2023-01-24 02:17:32";"Auchan";"transfer";"debit"
5105;"Subscription to Intermarche";-1267,84;"2023-02-11 05:38:11";"Intermarche";"payment";"debit"
5106;"Receipt from Carrefour";-7,41;"2023-06-16 10:55:31";"Carrefour";"refund";"debit"
5107;"Incoming transfer";4864,16;"2023-05-11 04:00:26";"Darty";"transfer";"credit"
5108;"Refund from Intermarche";-1050,68;"2024-02-14 01:36:53";"Intermarche";"direct_debit";"debit"
5109;"Purchase at Systeme U";-276,52;"2023-07-23 22:52:00";"Systeme U";"payment";"debit"
5110;"Refund from SNCF";1162,69;"2023-03-17 23:20:08";"SNCF";"payment";"credit"
5111;"Online payment";-1415,50;"2024-02-26 20:05:29";"Leclerc";"payment";"debit"
5112;"Card expense at Amazon.fr";-1195,14;"2023-11-01 18:59:59";"Amazon.fr";"transfer";"debit"
5113;"Online payment";4735,74;"2023-10-10 01:24:24";"Veolia";"refund";"credit"
5114;"Refund from Orange";-774,76;"2024-03-15 22:02:13";"Orange";"refund";"debit"
5115;"Incoming transfer";1001,74;"2023-06-26 10:58:43";"EDF";"refund";"credit"
5116;"Invoice from Monoprix";-1734,11;"2023-08-06 18:51:07";"Monoprix";"direct_debit";"debit"
5117;"Incoming transfer";-1571,76;"2023-05-23 02:37:42";"Transilien";"transfer";"debit"
5118;"Online payment";-1265,07;"2024-02-02 05:04:41";"Monoprix";"direct_debit";"debit"
5119;"Invoice from Veolia";-1289,73;"2023-04-09 12:11:23";"Veolia";"transfer";"debit"
5120;"Incoming transfer";-1868,44;"2023-02-23 02:31:09";"Leclerc";"direct_debit";"debit"
5121;"Refund from La Poste";-906,25;"2023-08-25 14:36:53";"La Poste";"direct_debit";"debit"
5122;"Incoming transfer";-1213,97;"2023-04-27 13:10:04";"Leclerc";"payment";"debit"
5123;"Purchase at Fnac";1271,85;"2023-07-14 09:32:23";"Fnac";"refund";"credit"
5124;"Invoice from EDF";-1103,28;"2023-10-16 12:20:24";"EDF";"direct_debit";"debit"
5125;"Outgoing transfer";3142,16;"2023-12-13 20:57:29";"Carrefour";"transfer";"credit"
5126;"Invoice from Carrefour";-226,56;"2023-08-26 00:49:59";"Carrefour";"refund";"debit"
5127;"Invoice from SFR";-280,19;"2023-04-09 12:00:57";"SFR";"direct_debit";"debit"
5128;"Incoming transfer";1246,76;"2023-09-18 17:03:24";"EDF";"transfer";"credit"
5129;"Invoice from Deliveroo";-1545,08;"2023-11-09 02:42:21";"Deliveroo";"refund";"debit"
5130;"Refund from Fnac";-349,92;"2023-02-25 14:22:27";"Fnac";"transfer";"debit"
5131;"Direct debit";2185,45;"2023-01-02 18:40:06";"Uber";"transfer";"credit"
5132;"Online payment";-1059,05;"2023-05-05 18:11:44";"SFR";"refund";"debit"
5133;"Refund from Carrefour";-406,19;"2023-09-11 10:48:21";"Carrefour";"transfer";"debit"
5134;"Purchase at Air France";-1184,37;"2024-03-06 00:58:11";"Air France";"refund";"debit"
5135;"Purchase at Darty";-172,44;"2024-03-22 22:29:09";"Darty";"transfer";"debit"
5136;"Online payment";650,43;"2023-12-05 06:37:30";"Leclerc";"payment";"credit"
5137;"Refund from Lidl";-293,86;"2023-12-13 12:02:58";"Lidl";"refund";"debit"
5138;"Subscription to Transilien";4173,45;"2023-02-14 01:06:49";"Transilien";"transfer";"credit"
5139;"Invoice from Orange";-1885,73;"2023-05-29 16:18:56";"Orange";"payment";"debit"
5140;"Direct debit";685,73;"2024-01-21 16:39:12";"Transilien";"refund";"credit"
5141;"Refund from Systeme U";-1745,12;"2023-11-22 06:45:16";"Systeme U";"transfer";"debit"
5142;"Incoming transfer";4388,72;"2023-12-12 10:19:52";"RATP";"payment";"credit"
5143;"Direct debit";-505,04;"2023-04-18 02:31:02";"Franprix";"transfer";"debit"
5144;"Card expense at SNCF";-1520,02;"2023-08-31 19:10:50";"SNCF";"refund";"debit"
5145;"Direct debit";-726,60;"2023-07-24 12:22:55";"Veolia";"payment";"debit"
5146;"Subscription to La Poste";2588,87;"2023-06-05 03:06:28";"La Poste";"refund";"credit"
5147;"Outgoing transfer";-1162,57;"2023-07-05 23:49:35";"Intermarche";"refund";"debit"
5148;"Incoming transfer";-741,72;"2023-06-07 08:42:20";"Intermarche";"payment";"debit"
5149;"Invoice from Auchan";-883,59;"2024-03-02 20:44:09";"Auchan";"transfer";"debit"
5150;"Receipt from Lidl";-1598,29;"2024-02-05 09:09:12";"Lidl";"refund";"debit"
5151;"Incoming transfer";-1119,11;"2023-01-17 08:19:40";"Darty";"refund";"debit"
5152;"Subscription to Transilien";-1863,68;"2024-02-27 00:06:48";"Transilien";"refund";"debit"
5153;"Subscription to La Poste";-319,41;"2023-05-01 15:09:52";"La Poste";"payment";"debit"
5154;"Outgoing transfer";2634,43;"2023-12-18 00:38:08";"Air France";"refund";"credit"
5155;"Online payment";-486,76;"2024-03-08 02:10:06";"RATP";"direct_debit";"debit"
5156;"Purchase at SFR";-1939,85;"2023-06-06 03:42:20";"SFR";"transfer";"debit"
5157;"Invoice from RATP";-1667,54;"2024-03-23 13:15:09";"RATP";"payment";"debit"
5158;"Subscription to EDF";-1042,06;"2023-08-14 02:04:51";"EDF";"transfer";"debit"
5159;"Card expense at Lidl";-1962,35;"2023-04-09 18:06:31";"Lidl";"direct_debit";"debit"
5160;"Subscription to Fnac";1747,95;"2023-03-11 12:47:03";"Fnac";"payment";"credit"
5161;"Online payment";-250,41;"2023-09-26 19:17:04";"Orange";"transfer";"debit"
5162;"Receipt from RATP";4089,11;"2024-01-31 21:24:51";"RATP";"refund";"credit"
5163;"Incoming transfer";1838,42;"2023-10-15 12:27:20";"Bouygues";"payment";"credit"
5164;"Incoming transfer";-955,84;"2023-06-27 09:43:44";"Lidl";"refund";"debit"
5165;"Purchase at Leclerc";308,19;"2023-12-19 15:17:34";"Leclerc";"transfer";"credit"
5166;"Outgoing transfer";3728,84;"2024-03-06 22:48:52";"Deliveroo";"direct_debit";"credit"
5167;"Online payment";-1407,34;"2023-09-22 03:57:53";"La Poste";"direct_debit";"debit"
5168;"Invoice from TotalEnergies";-252,37;"2023-12-16 04:29:59";"TotalEnergies";"direct_debit";"debit"
5169;"Direct debit";4230,84;"2023-12-23 01:15:02";"Lidl";"direct_debit";"credit"
5170;"Card expense at Leclerc";3773,55;"2024-03-05 06:17:03";"Leclerc";"payment";"credit"
5171;"Outgoing transfer";1609,70;"2023-10-25 12:09:36";"Lidl";"transfer";"credit"
5172;"Receipt from Monoprix";-1120,49;"2023-01-17 03:41:54";"Monoprix";"payment";"debit"
5173;"Direct debit";3727,20;"2023-08-06 13:13:02";"TotalEnergies";"payment";"credit"
5174;"Purchase at SNCF";-222,97;"2023-11-01 13:26:38";"SNCF";"refund";"debit"
5175;"Card expense at TotalEnergies";-1600,14;"2023-12-02 15:47:38";"TotalEnergies";"direct_debit";"debit"
5176;"Card expense at Intermarche";2908,12;"2023-03-19 12:27:51";"Intermarche";"payment";"credit"
5177;"Subscription to Intermarche";1392,74;"2023-09-02 06:05:12";"Intermarche";"payment";"credit"
5178;"Incoming transfer";2968,23;"2024-01-12 17:21:40";"EDF";"refund";"credit"
5179;"Outgoing transfer";1287,18;"2023-02-12 14:48:49";"Transilien";"payment";"credit"
5180;"Refund from Franprix";-27,25;"2023-08-27 21:14:26";"Franprix";"direct_debit";"debit"
5181;"Card expense at Uber";4680,70;"2023-10-21 01:53:28";"Uber";"refund";"credit"
5182;"Online payment";-451,93;"2024-02-08 12:03:22";"Lidl";"refund";"debit"
5183;"Invoice from Veolia";-1732,61;"2023-02-18 09:09:29";"Veolia";"transfer";"debit"
5184;"Online payment";2193,28;"2023-04-29 16:33:03";"SNCF";"refund";"credit"
5185;"Online payment";3003,20;"2024-04-16 01:31:59";"SNCF";"transfer";"credit"
5186;"Card expense at Carrefour";-1772,78;"2023-11-02 20:20:35";"Carrefour";"direct_debit";"debit"
5187;"Refund from Franprix";-1019,58;"2024-01-11 22:33:28";"Franprix";"direct_debit";"debit"
5188;"Incoming transfer";-1645,81;"2023-06-08 05:20:37";"La Poste";"direct_debit";"debit"
5189;"Receipt from La Poste";-216,70;"2023-01-07 05:55:39";"La Poste";"refund";"debit"
5190;"Refund from Auchan";2839,46;"2023-10-26 19:38:13";"Auchan";"direct_debit";"credit"
5191;"Purchase at Leclerc";2734,73;"2023-07-12 03:53:28";"Leclerc";"payment";"credit"
5192;"Direct debit";-477,96;"2024-02-15 14:44:18";"Orange";"transfer";"debit"
5193;"Incoming transfer";3966,67;"2023-07-17 04:15:34";"Systeme U";"transfer";"credit"
5194;"Incoming transfer";750,74;"2023-11-25 18:31:51";"Monoprix";"transfer";"credit"
5195;"Outgoing transfer";-679,59;"2024-03-11 15:33:46";"Lidl";"direct_debit";"debit"
5196;"Refund from TotalEnergies";-911,40;"2023-06-16 01:46:16";"TotalEnergies";"refund";"debit"
5197;"Invoice from Deliveroo";1886,80;"2023-12-26 16:15:37";"Deliveroo";"payment";"credit"
5198;"Direct debit";-99,15;"2023-07-06 03:06:23";"RATP";"transfer";"debit"
5199;"Purchase at RATP";3809,57;"2023-04-17 03:11:39";"RATP";"refund";"credit"
5200;"Incoming transfer";2172,18;"2023-02-13 07:18:29";"Amazon.fr";"direct_debit";"credit"
5201;"Incoming transfer";-1932,65;"2023-11-29 06:40:33";"Orange";"refund";"debit"
5202;"Direct debit";-1891,66;"2023-03-20 23:51:42";"Darty";"refund";"debit"
5203;"Invoice from Orange";-604,64;"2023-01-25 12:07:13";"Orange";"direct_debit";"debit"
5204;"Outgoing transfer";-885,93;"2023-02-12 12:18:17";"Air France";"refund";"debit"
5205;"Invoice from TotalEnergies";4733,24;"2023-11-27 07:56:44";"TotalEnergies";"payment";"credit"
5206;"Direct debit";-1617,49;"2024-04-09 03:18:10";"Darty";"payment";"debit"
5207;"Incoming transfer";3582,37;"2023-12-21 08:01:00";"Systeme U";"payment";"credit"
5208;"Purchase at Transilien";-883,67;"2023-08-21 08:12:48";"Transilien";"payment";"debit"
5209;"Outgoing transfer";-1077,32;"2023-06-12 00:07:38";"Air France";"direct_debit";"debit"
5210;"Direct debit";-1730,70;"2023-11-04 06:21:04";"Leclerc";"payment";"debit"
5211;"Card expense at Bouygues";1790,77;"2023-01-20 22:53:45";"Bouygues";"direct_debit";"credit"
5212;"Card expense at Carrefour";-1375,37;"2023-08-02 21:05:58";"Carrefour";"refund";"debit"
5213;"Invoice from Auchan";3038,87;"2023-12-30 22:33:10";"Auchan";"transfer";"credit"
5214;"Direct debit";-1910,72;"2023-03-21 20:42:18";"Carrefour";"direct_debit";"debit"
5215;"Invoice from Intermarche";-23,70;"2023-03-21 01:29:44";"Intermarche";"refund";"debit"
5216;"Purchase at Transilien";3079,09;"2024-03-25 07:40:36";"Transilien";"transfer";"credit"
5217;"Card expense at SNCF";-496,50;"2023-07-29 13:41:06";"SNCF";"direct_debit";"debit"
5218;"Refund from Transilien";4831,91;"2023-08-26 09:54:06";"Transilien";"refund";"credit"
5219;"Invoice from Deliveroo";-1200,76;"2023-10-23 16:56:48";"Deliveroo";"refund";"debit"
5220;"Subscription to Deliveroo";3464,46;"2024-03-16 09:27:50";"Deliveroo";"transfer";"credit"
5221;"Online payment";-1972,69;"2023-09-07 09:13:31";"La Poste";"payment";"debit"
5222;"Subscription to Orange";-829,20;"2023-03-20 04:28:05";"Orange";"payment";"debit"
5223;"Card expense at Uber";218,17;"2023-06-09 15:40:55";"Uber";"payment";"credit"
5224;"Outgoing transfer";-1851,88;"2023-03-05 15:09:30";"Carrefour";"direct_debit";"debit"
5225;"Direct debit";-1884,22;"2023-01-05 11:57:48";"Veolia";"refund";"debit"
5226;"Receipt from Systeme U";-1293,89;"2024-04-09 23:30:54";"Systeme U";"payment";"debit"
5227;"Online payment";3877,52;"2023-07-02 11:20:03";"Franprix";"refund";"credit"
5228;"Outgoing transfer";-1633,48;"2024-04-05 08:10:50";"Bouygues";"payment";"debit"
5229;"Subscription to Transilien";-149,39;"2023-07-05 21:12:17";"Transilien";"transfer";"debit"
5230;"Outgoing transfer";2009,70;"2023-07-25 07:45:46";"Bouygues";"direct_debit";"credit"
5231;"Outgoing transfer";-619,03;"2024-04-05 18:24:47";"Transilien";"transfer";"debit"
5232;"Incoming transfer";1583,13;"2023-10-09 19:16:52";"Intermarche";"direct_debit";"credit"
5233;"Refund from TotalEnergies";-472,53;"2024-04-24 06:48:28";"TotalEnergies";"refund";"debit"
5234;"Invoice from Monoprix";3619,77;"2023-11-27 04:18:15";"Monoprix";"direct_debit";"credit"
5235;"Online payment";-560,90;"2024-04-03 00:01:08";"RATP";"transfer";"debit"
5236;"Online payment";-475,86;"2024-04-20 03:10:43";"Fnac";"payment";"debit"
5237;"Refund from Amazon.fr";-543,33;"2024-01-28 04:57:22";"Amazon.fr";"direct_debit";"debit"
5238;"Invoice from Amazon.fr";-1952,84;"2023-02-09 01:26:36";"Amazon.fr";"refund";"debit"
5239;"Card expense at Bouygues";695,87;"2024-01-21 12:23:10";"Bouygues";"direct_debit";"credit"
5240;"Direct debit";-940,75;"2023-08-01 17:58:47";"Carrefour";"payment";"debit"
5241;"Subscription to Leclerc";-359,34;"2023-03-23 07:14:15";"Leclerc";"direct_debit";"debit"
5242;"Subscription to Uber";31,71;"2023-08-23 21:29:14";"Uber";"direct_debit";"credit"
5243;"Receipt from Auchan";-635,10;"2023-02-04 13:07:51";"Auchan";"payment";"debit"
5244;"Receipt from Veolia";-586,86;"2023-05-24 05:55:23";"Veolia";"payment";"debit"
5245;"Outgoing transfer";-672,34;"2023-07-16 22:27:12";"Auchan";"refund";"debit"
5246;"Incoming transfer";-918,88;"2023-06-27 21:31:57";"Carrefour";"direct_debit";"debit"
5247;"Online payment";-463,82;"2023-02-14 12:49:29";"Franprix";"payment";"debit"
5248;"Outgoing transfer";-1279,30;"2023-10-28 15:15:20";"SFR";"direct_debit";"debit"
5249;"Invoice from Uber";-660,79;"2023-11-27 08:27:32";"Uber";"payment";"debit"
5250;"Subscription to Amazon.fr";-1487,43;"2023-12-26 16:31:43";"Amazon.fr";"payment";"debit"
5251;"Invoice from Uber";-1624,34;"2023-08-17 06:32:23";"Uber";"refund";"debit"
5252;"Subscription to Amazon.fr";-403,92;"2023-06-03 15:39:01";"Amazon.fr";"direct_debit";"debit"
5253;"Direct debit";-1796,66;"2024-03-01 03:19:49";"Auchan";"refund";"debit"
5254;"Receipt from Bouygues";4860,43;"2023-01-21 17:28:44";"Bouygues";"transfer";"credit"
5255;"Refund from Auchan";-1885,98;"2023-06-03 21:04:14";"Auchan";"payment";"debit"
5256;"Online payment";-14,21;"2023-10-07 17:30:54";"Orange";"direct_debit";"debit"
5257;"Invoice from Air France";1352,87;"2023-05-14 04:03:28";"Air France";"payment";"credit"
5258;"Card expense at Fnac";624,30;"2023-11-14 22:40:59";"Fnac";"refund";"credit"
5259;"Purchase at Transilien";828,78;"2023-01-27 09:45:56";"Transilien";"payment";"credit"
5260;"Receipt from TotalEnergies";135,40;"2023-08-23 10:34:28";"TotalEnergies";"direct_debit";"credit"
5261;"Card expense at Fnac";-426,05;"2023-03-30 22:04:26";"Fnac";"transfer";"debit"
5262;"Card expense at Air France";-1544,89;"2023-12-21 07:20:47";"Air France";"direct_debit";"debit"
5263;"Invoice from Transilien";-999,91;"2024-01-15 12:38:31";"Transilien";"payment";"debit"
5264;"Invoice from Air France";-357,25;"2023-09-19 01:15:54";"Air France";"direct_debit";"debit"
5265;"Receipt from RATP";-1958,98;"2023-10-03 18:04:04";"RATP";"direct_debit";"debit"
5266;"Receipt from Auchan";-926,32;"2024-01-04 15:25:26";"Auchan";"refund";"debit"
5267;"Direct debit";-1237,92;"2023-01-10 04:03:47";"Transilien";"refund";"debit"
5268;"Invoice from Leclerc";-1294,83;"2023-01-15 15:46:57";"Leclerc";"payment";"debit"
5269;"Purchase at SFR";-799,62;"2023-07-31 21:40:07";"SFR";"direct_debit";"debit"
5270;"Purchase at Intermarche";3440,07;"2023-02-25 15:53:33";"Intermarche";"direct_debit";"credit"
5271;"Outgoing transfer";-134,14;"2024-02-13 15:21:50";"SNCF";"refund";"debit"
5272;"Direct debit";-1647,10;"2023-11-27 08:03:24";"Systeme U";"direct_debit";"debit"
5273;"Invoice from Darty";-1560,22;"2024-01-05 18:51:57";"Darty";"refund";"debit"
5274;"Outgoing transfer";2780,36;"2023-12-02 00:14:05";"Deliveroo";"payment";"credit"
5275;"Purchase at Deliveroo";-249,80;"2023-11-11 07:52:13";"Deliveroo";"refund";"debit"
5276;"Direct debit";-225,38;"2024-03-07 19:44:24";"Lidl";"direct_debit";"debit"
5277;"Outgoing transfer";848,58;"2024-01-31 09:25:15";"Veolia";"refund";"credit"
5278;"Online payment";-38,77;"2023-10-28 01:15:21";"Auchan";"transfer";"debit"
5279;"Purchase at Air France";2303,47;"2023-04-28 16:54:27";"Air France";"transfer";"credit"
5280;"Invoice from Orange";-260,58;"2023-09-01 13:08:41";"Orange";"refund";"debit"
5281;"Purchase at Fnac";-1575,75;"2024-01-07 16:33:53";"Fnac";"payment";"debit"
5282;"Refund from Systeme U";402,69;"2023-06-21 20:34:36";"Systeme U";"transfer";"credit"
5283;"Direct debit";-1398,98;"2023-03-14 23:59:34";"EDF";"direct_debit";"debit"
5284;"Subscription to Darty";-404,73;"2023-04-15 06:40:55";"Darty";"direct_debit";"debit"
5285;"Receipt from Darty";2275,03;"2023-10-08 05:15:30";"Darty";"transfer";"credit"
5286;"Purchase at Systeme U";-1361,53;"2023-01-27 17:37:50";"Systeme U";"payment";"debit"
5287;"Purchase at Carrefour";-1363,14;"2023-02-15 11:12:39";"Carrefour";"direct_debit";"debit"
5288;"Incoming transfer";3502,29;"2024-03-21 08:50:10";"Auchan";"direct_debit";"credit"
5289;"Incoming transfer";-458,88;"2023-09-03 09:33:57";"La Poste";"direct_debit";"debit"
5290;"Invoice from Darty";1640,62;"2023-06-21 03:26:50";"Darty";"payment";"credit"
5291;"Card expense at RATP";4823,90;"2023-11-03 14:47:54";"RATP";"direct_debit";"credit"
5292;"Invoice from Bouygues";266,87;"2024-02-19 08:52:26";"Bouygues";"direct_debit";"credit"
5293;"Receipt from Monoprix";-709,21;"2023-02-09 03:39:37";"Monoprix";"transfer";"debit"
5294;"Refund from Darty";3214,88;"2024-01-19 14:40:17";"Darty";"transfer";"credit"
5295;"Online payment";-1409,07;"2024-04-01 13:28:05";"Amazon.fr";"refund";"debit"
5296;"Receipt from Lidl";-908,57;"2023-01-31 18:05:57";"Lidl";"refund";"debit"
5297;"Purchase at Bouygues";-206,26;"2023-07-31 00:17:49";"Bouygues";"direct_debit";"debit"
5298;"Receipt from Systeme U";-2,39;"2023-08-06 04:03:53";"Systeme U";"direct_debit";"debit"
5299;"Card expense at Amazon.fr";-60,46;"2023-12-17 01:27:59";"Amazon.fr";"payment";"debit"
5300;"Outgoing transfer";-1825,45;"2023-12-27 05:41:48";"Orange";"transfer";"debit"
5301;"Card expense at SFR";-175,83;"2023-12-19 06:33:17";"SFR";"payment";"debit"
5302;"Outgoing transfer";-247,36;"2023-04-13 18:03:02";"Leclerc";"transfer";"debit"
5303;"Online payment";3209,47;"2024-02-20 18:03:16";"Franprix";"payment";"credit"
5304;"Refund from Auchan";-499,34;"2023-06-14 14:33:37";"Auchan";"direct_debit";"debit"
5305;"Outgoing transfer";-464,50;"2023-07-07 20:06:54";"Lidl";"payment";"debit"
5306;"Purchase at Auchan";-1630,74;"2023-02-10 14:23:04";"Auchan";"refund";"debit"
5307;"Online payment";2436,94;"2023-07-24 23:16:08";"Veolia";"payment";"credit"
5308;"Invoice from Monoprix";4898,26;"2023-09-15 17:19:45";"Monoprix";"refund";"credit"
5309;"Direct debit";-609,86;"2023-04-28 07:06:34";"Franprix";"direct_debit";"debit"
5310;"Invoice from Bouygues";2540,69;"2023-03-08 01:46:11";"Bouygues";"direct_debit";"credit"
5311;"Purchase at SNCF";2102,57;"2023-08-18 04:58:04";"SNCF";"refund";"credit"
5312;"Incoming transfer";-1767,31;"2024-02-01 03:24:20";"Systeme U";"refund";"debit"
5313;"Card expense at EDF";-230,91;"2024-03-20 21:42:10";"EDF";"refund";"debit"
5314;"Incoming transfer";-1381,04;"2024-03-03 00:55:57";"Orange";"direct_debit";"debit"
5315;"Online payment";-1104,17;"2023-11-07 12:26:52";"Air France";"transfer";"debit"
5316;"Refund from Transilien";-1910,50;"2023-07-17 17:21:59";"Transilien";"refund";"debit"
5317;"Receipt from Lidl";-1595,17;"2023-04-19 13:34:26";"Lidl";"payment";"debit"
